Instancia,Populacao,Geracoes,Mutacao,Melhor_Fitness,Fitness_Medio,Tempo_Medio_s
i01,100,100,0.05,520,532.0,1.11
i01,100,250,0.05,510,532.0,2.75
i01,100,500,0.05,500,524.0,5.67
i02,100,100,0.05,805,877.0,1.33
i02,100,250,0.05,705,756.0,3.46
i02,100,500,0.05,690,710.0,6.96
i03,100,100,0.05,395,411.0,1.21
i03,100,250,0.05,370,383.0,3.11
i03,100,500,0.05,365,370.0,6.54
i04,100,100,0.05,805,831.4,2.99
i04,100,250,0.05,692,718.8,6.19
i04,100,500,0.05,635,651.6,12.61
i05,100,100,0.05,5100,5268.0,3.88
i05,100,250,0.05,4750,4846.0,10.4
i05,100,500,0.05,4260,4496.0,21.87
i06,100,100,0.05,1262,1284.4,3.39
i06,100,250,0.05,982,1055.2,7.85
i06,100,500,0.05,884,948.2,16.46
i18,100,100,0.05,10320,10485.2,8.61
i18,100,250,0.05,9826,10027.0,22.24
i18,100,500,0.05,9000,9465.2,46.84
